descrizione;likes;retweets;data
RT @AnsaToscana: COVID	il punto in Toscana. Oltre 11000 tamponi in un	giorno.	Giani stop visite parenti Rsa #ANSA https://t.co/vepDhhWwbP;0;5;2020-10-14 18:58
"RT @AnsaTrentinoAA: &gt;ANSA-IL-PUNTO/COVID, tre morti in una Rsa in Trentino. Aumentano in Alto Adige contagi e ricoveri |#ANSA https://t.co/…";0;6;2020-10-14 18:59
RT @AnsaValledAosta: COVID-19 il punto in Valle	d'Aosta. Cento casi positivi in più in 3 giorni ricoverata quattordicenne #ANSA https://t.…;0;11;2020-10-14 19:00
#Covid, in Gran Bretagna ancora record, sfiorati i 20mila casi in 24 ore #ANSA https://t.co/Mq3CdyCazP;29;24;2020-10-14 19:02
#Coronavirus, il nodo del trasporto pubblico. Ipotesi di nuovi scaglionamenti per le scuole #ANSA https://t.co/f3fNiqMQE7;22;6;2020-10-14 19:30
#Covid, la linea dura di #Macron. Coprifuoco in molte città francesi #ANSA https://t.co/C0SoAIUogT;32;18;2020-10-14 19:59
Anche il figlio di Donald e Melania Trump è stato positivo al #Coronavirus. Ora sta bene, spiega la madre #ANSA https://t.co/RNTFxKKfiR;26;3;2020-10-14 21:14
#Coronavirus, record di contagi in Italia, si teme #lockdown a Natale #ANSA https://t.co/1xscryU3Ng;115;43;2020-10-14 21:53
#Coronavirus, record di contagi in Italia, si teme #lockdown a Natale #ANSA https://t.co/DaTBCB0vru;23;14;2020-10-15 05:20
#Coronavirus 'Epidemia in fase acuta. Il virus circola in tutto il Paese'. Lo spiega il monitoraggio dell'Iss sui dati del contagio #ANSA https://t.co/UJlK6OIY0f;43;22;2020-10-15 05:30
Valentino Rossi e Federica Pellegrini positivi al #Coronavirus. L'amarezza dei due campioni  #ANSA https://t.co/PcvODuNZnm;17;11;2020-10-15 06:00
Da #Cr7 a #Fognini, ecco gli atleti positivi al #Coronavirus - #VIDEO #ANSA https://t.co/oF9s9WMVYD;5;5;2020-10-15 06:10
#Coronavirus, Londra impone la quarantena per chi arriva dall'Italia #ANSA https://t.co/2lJdwidEQS;22;17;2020-10-15 06:20
#Coronavirus, immunità di gregge bocciata da 80 esperti: Non ferma il virus' #ANSA https://t.co/4tWpyiOY71;28;12;2020-10-15 06:50
Quattro calciatori del Parma positivi, la squadra in isolamento #Coronavirus #ANSA https://t.co/NXU2vodke4;18;8;2020-10-15 07:01
