descrizione,likes,retweets,data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"#Coronavirus #Gruber conduce da casa: 'Un mio collaboratore ha il #Covid'
#ANSA
https://t.co/fZXImbAfsL",65,19,2020-10-19,19:55:17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"#Coronavirus @Fedez : 'Conte ci ha chiesto aiuto per invitare all'uso della mascherina'
#ANSA
 https://t.co/RET6eUxjug",185,29,2020-10-19,19:02:21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"#Coronavirus, il coro di #SantaCecilia in quarantena. Un artista è risultato positivo
#ANSA

https://t.co/mRZyKaBaT6",39,27,2020-10-19,18:38:04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"RT @AnsaScienza: #COVID19, rapporto casi positivi-tamponi tocca record del 9,4%. Mai un valore così alto nelle ultime settimane
https://t.c…",0,20,2020-10-19,18:35:32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"#Coronavirus, ok di @robersperanza all'ipotesi  di misure restrittive in #Lombardia. 'Lavoreremo insieme a Fontana e Sala nelle prossime ore' 
#ANSA
https://t.co/OVRtmWRe86",33,9,2020-10-19,18:32:21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"#Coronavirus, La Lombardia chiede al governo il coprifuoco nella Regione dalle 23. Preoccupa la previsione che al 31 ottobre possano esserci 600 ricoveri in terapia intensiva
#ANSA
 https://t.co/GJaUu1swTU",60,45,2020-10-19,17:52:34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"il #Covid annulla i #mercatini di #Natale: 'Impossibile rispettare il #dpcm ed evitare #assembramenti' #ANSA
https://t.co/qLNblblwY0",136,59,2020-10-19,16:52:38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"#Covid: Brigitte Macron in isolamento. 'Non ha sintomi ma è stata in contatto con una persona positiva' #ANSA
https://t.co/HOgaCAUe56",18,7,2020-10-19,16:23:11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"#covid 'Considerare il #coprifuoco nelle grandi città per scongiurare il #lockdown a #Natale'. Lo afferma il virologo @preglias . 'Con l'uso della #mascherina la stagione dell'#influenza sarà più lieve' #ANSA
https://t.co/SRWaN6QHHl",32,12,2020-10-19,16:04:05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"#Covid animatori feste a Napoli: 'Se ci chiudi poi ci aiuti'.  'Da De Luca stop a qualsiasi cerimonia, abbiamo acqua alla gola' FOTO #ANSA  
https://t.co/oBXn97WDWc",10,7,2020-10-19,15:53:13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
